"name","playerid","new_L","L","Source","L_adj_rate"
"Jesus Cruz","20042",0.0479,NA,NA,NA
"Jesus Cruz","sa3008699",0.0576,NA,NA,NA
"Jesus Flores","sa3021519",0.0643,NA,NA,NA
"Jesus Garcia","sa3022018",0.0713,NA,NA,NA
"Jesus Gonzalez","sa3006069",0.0704,NA,NA,NA
"Jesus Linarez","sa832333",0.0592,NA,NA,NA
"Jesus Liranzo","sa658076",2.02605,NA,NA,NA
"Jesus Lopez","sa3021485",0.0856,NA,NA,NA
"Jesus Lopez","sa3021529",0.0612,NA,NA,NA
"Jesus Luna","sa3015925",0.0532,NA,NA,NA
"Jesus Luzardo","19959",7.56790705882353,5.517,"REZ1",1.37174316817537
"Jesus Mendez","sa3019295",0.061,NA,NA,NA
"Jesus Poline","sa3021032",0.0617,NA,NA,NA
"Jesus Rios","sa3021471",0.0579,NA,NA,NA
"Jesus Rivero","sa3017012",0.0781,NA,NA,NA
"Jesus Silverio","sa3016467",0.062,NA,NA,NA
"Jesus Tillero","sa3021010",0.0872,NA,NA,NA
"Jesus Tinoco","16300",2.31651176470588,3.511,"REZ1",0.659786888267127
"Jesus Valdez","sa3015474",0.0601,NA,NA,NA
"Jesus Valles","sa3005866",0.0677,NA,NA,NA
"Jesus Vargas","sa877526",0.0627,NA,NA,NA
"Jeter Martinez","sa3021738",0.0883,NA,NA,NA
"Jeurys Familia","5114",0.620642857142857,2.047,"REZ1",0.30319631516505
"Jeyson Mejia","sa3022170",0.0618,NA,NA,NA
"Jhan Marinez","5830",0.0605,NA,NA,NA
"Jhan Zambrano","sa3009472",0.0576,NA,NA,NA
"Jhancarlos Lara","sa3019367",2.53285,NA,NA,NA
"Jharel Cotton","13654",0.0518,NA,NA,NA
"Jharold Clemente","sa3022327",0.0881,NA,NA,NA
"Jhemiangel Tovar","sa3022329",0.061,NA,NA,NA
"Jheremy Vicente","sa3016527",0.08,NA,NA,NA
"Jhoan Duran","21029",3.2778,5.072,"REZ1",0.646253943217666
"Jhoan Lorenzo","sa3021799",0.0629,NA,NA,NA
"Jholbran Herder","sa3019272",0.0808,NA,NA,NA
"Jhomber Jimenez","sa3021782",0.0741,NA,NA,NA
"Jhon Cabral","sa3019299",0.0655,NA,NA,NA
"Jhon Medina","sa3022121",0.0864,NA,NA,NA
"Jhon Nunez","sa3021734",0.085,NA,NA,NA
"Jhon Romero","19940",0.0498,NA,NA,NA
"Jhonatan Munoz","sa916947",0.0603,NA,NA,NA
"Jhonathan Diaz","20298",1.43910129411765,2.089,"REZ1",0.68889482724636
"Jhoniel Serrano","sa3016710",0.068,NA,NA,NA
"Jhonly Taveras","sa3018847",0.0935,NA,NA,NA
"Jhonny Felix","sa3017641",0.065,NA,NA,NA
"Jhonny Gomez","sa3016268",0.0749,NA,NA,NA
"Jhonny Jimenez","sa3016506",0.0618,NA,NA,NA
"Jhonny Martinez","sa3018844",0.0626,NA,NA,NA
"Jhony Brito","25386",2.80162,2.545,"REZ1",1.10083300589391
"Jhosep Chirinos","sa3019144",0.0589,NA,NA,NA
"Jhosmer Alvarez","sa3005437",1.52555,NA,NA,NA
"Jhoulys Chacin","2608",0.0525,NA,NA,NA
"Jilber Canas","sa3018806",0.062,NA,NA,NA
"Jimmie Sherfy","15118",0.0497,NA,NA,NA
"Jimmy Burnette","sa3017367",1.025,NA,NA,NA
"Jimmy Cordero","15690",-0.437642857142857,-1.648,"REZ1",0.265559986130374
"Jimmy Endersby","sa3014921",2.5371,NA,NA,NA
"Jimmy Herget","17556",2.20656117647059,1.334,"REZ1",1.65409383543522
"Jimmy Joyce","sa3016914",2.53195,NA,NA,NA
"Jimmy Kingsbury","sa3016838",0.0569,NA,NA,NA
"Jimmy Lambert","19541",0.962546363636364,0.983,"REZ1",0.979192638490706
"Jimmy Lewis","sa3014533",0.0563,NA,NA,NA
"Jimmy Loper","sa3020838",0.0551,NA,NA,NA
"Jimmy Nelson","10547",0.0517,NA,NA,NA
"Jimmy Reyes","sa3022277",0.0815,NA,NA,NA
"Jimmy Robbins","sa3011145",2.5256,NA,NA,NA
"Jimmy Yacabonis","15157",0.361214285714286,1.143,"REZ1",0.316022997125359
"Jiorgeny Casimiri","sa3011736",0.0579,NA,NA,NA
"JoJo Romero","19574",2.92264588235294,1.587,"REZ1",1.84161681307684
"Joakim Soria","6941",0.0514,NA,NA,NA
"Joan Adon","22925",2.185158,2.239,"REZ1",0.975952657436356
"Joan Gonzalez","sa3022860",0.0554,NA,NA,NA
"Joan Martinez","sa917483",0.0521,NA,NA,NA
"Joan Ogando","sa3022325",0.0665,NA,NA,NA
"Joan Valdez","sa3003013",0.0593,NA,NA,NA
"Joander Suarez","sa3008263",3.531,NA,NA,NA
"Joangel Gonzalez","sa3022242",0.0689,NA,NA,NA
"Joaquin Tejada","sa3016207",0.0601,NA,NA,NA
"Joe Adametz","sa3022323",0.0712,NA,NA,NA
"Joe Barlow","22296",1.09633333333333,1.447,"REZ1",0.757659525454964
"Joe Biagini","13194",0.0514,NA,NA,NA
"Joe Boyle","29608",3.82787176470588,3.855,"REZ1",0.992962844281681
"Joe Corbett","sa3010237",0.0506,NA,NA,NA
"Joe DeMers","sa3008597",0.0568,NA,NA,NA
"Joe Elbis","sa3015216",3.0366,NA,NA,NA
"Joe Gatto","sa828693",0.0567,NA,NA,NA
"Joe Gunkel","sa738176",1.53455,NA,NA,NA
"Joe Harvey","16459",0.0506,NA,NA,NA
"Joe Jacques","25178",1.09483858823529,1.932,"REZ1",0.566686639873341
"Joe Jimenez","15761",1.62651952941176,4.279,"REZ1",0.380116739755028
"Joe Joe Rodriguez","sa3020108",0.0556,NA,NA,NA
"Joe Jones","sa3014870",0.0543,NA,NA,NA
"Joe Kelly","9761",2.11138117647059,3.05,"REZ1",0.69225612343298
"Joe Kemlage","sa3017825",0.0541,NA,NA,NA
"Joe La Sorsa","25481",1.09439163636364,1.883,"REZ1",0.581195770771979
"Joe Mantiply","14857",2.66179176470588,1.697,"REZ1",1.56852785191861
"Joe Miller","sa3020393",0.0756,NA,NA,NA
"Joe Musgrove","12970",3.45329166666667,5.579,"REZ1",0.618980402700604
"Joe Nahas","sa3011679",2.0286,NA,NA,NA
"Joe Navilhon","sa918459",0.0545,NA,NA,NA
"Joe Record","sa3008619",1.0272,NA,NA,NA
"Joe Rock","sa3017755",2.16791,NA,NA,NA
"Joe Ross","12972",3.23437647058824,4.707,"REZ1",0.687141803821592
"Joe Ryan","21390",8.04228,6.539,"REZ1",1.22989447927818
"Joe Smith","3281",0.0522,NA,NA,NA
"Joe Whitman","sa3023131",0.0734,NA,NA,NA
"Joe Wieland","6109",0.0561,NA,NA,NA
"Joe Zanghi","sa875398",0.0503,NA,NA,NA
"Joel Benitez","sa3008733",0.058,NA,NA,NA
"Joel Canizalez","sa3021553",0.0743,NA,NA,NA
"Joel Condreay","sa3008102",0.0555,NA,NA,NA
"Joel Diaz","sa3015500",0.0775,NA,NA,NA
"Joel Garcia","sa3021999",0.0933,NA,NA,NA
"Joel Heredia","sa3021739",0.0895,NA,NA,NA
"Joel Hurtado","sa3019774",0.0788,NA,NA,NA
"Joel Ibarra","sa3009326",0.0558,NA,NA,NA
"Joel Kuhnel","19995",1.27795545454545,2.033,"REZ1",0.62860573268345
"Joel Payamps","14332",3.41019411764706,3.345,"REZ1",1.01949002022334
"Joel Peguero","sa917689",1.0257,NA,NA,NA
"Joel Valdez","sa3011397",0.0542,NA,NA,NA
"Joelvis Del Rosario","sa3008486",0.0719,NA,NA,NA
"Joelvis Perez","sa3021511",0.0952,NA,NA,NA
"Joely Rodriguez","11487",1.31750364705882,2.312,"REZ1",0.569854518624059
"Joey Cantillo","23335",5.33139882352941,6.584,"REZ1",0.809750732613823
"Joey Estes","26257",7.49529529411765,6.593,"REZ1",1.13685655909565
"Joey Gerber","24591",1.19838,NA,NA,NA
"Joey Krehbiel","13707",1.58254166666667,1.865,"REZ1",0.84854781054513
"Joey Lancellotti","sa3019879",0.0532,NA,NA,NA
"Joey Lucchesi","19320",1.78362447058824,3.365,"REZ1",0.530051848614632
"Joey Mancini","sa3020858",3.0313,NA,NA,NA
"Joey Marciano","sa3004637",0.0549,NA,NA,NA
"Joey Matulovich","sa3008274",0.0568,NA,NA,NA
"Joey Murray","sa3007234",0.0543,NA,NA,NA
"Joey Stock","sa3015309",0.055,NA,NA,NA
"Joey Walsh","sa3017194",0.078,NA,NA,NA
"Joey Wentz","19962",3.10806352941176,3.226,"REZ1",0.963441887604391
"Jogly Garcia","sa3017898",0.0615,NA,NA,NA
"Jogly Garcia","sa3019633",0.0833,NA,NA,NA
"Johan Dominguez","sa916727",3.5358,NA,NA,NA
"Johan Minaya","sa3022041",0.0821,NA,NA,NA
"Johan Montero","sa3009488",0.0572,NA,NA,NA
"Johan Moreno","sa3020999",0.0715,NA,NA,NA
"Johan Otanez","sa3009782",0.059,NA,NA,NA
"Johan Oviedo","22487",4.92192588235294,3.725,"REZ1",1.32132238452428
"Johan Palacios","sa3019193",0.0619,NA,NA,NA
"Johan Quezada","20643",0.0536,NA,NA,NA
"Johan Rodriguez","sa3021807",0.0789,NA,NA,NA
"Johan Simon","sa3015481",0.0783,NA,NA,NA
"Johander Rubio","sa3022027",0.0954,NA,NA,NA
"Johandry Fuente","sa3018868",0.0617,NA,NA,NA
"Johandry Milano","sa3019061",0.06,NA,NA,NA
"John Beller","sa3014972",0.0513,NA,NA,NA
"John Brebbia","12777",2.59313411764706,2.566,"REZ1",1.01057448076659
"John Creel","sa3018137",0.0521,NA,NA,NA
"John Curtiss","16128",1.24968764705882,1.85,"REZ1",0.675506836248013
"John Doxakis","sa1115967",2.52635,NA,NA,NA
"John Gant","13684",0.0683,NA,NA,NA
"John Gavin","sa829790",0.0493,NA,NA,NA
"John King","22051",2.76285294117647,2.656,"REZ1",1.04023077604536
"John Klein","sa3020405",0.0789,NA,NA,NA
"John Lynch","sa3020809",0.0577,NA,NA,NA
"John Matthews","sa3010311",1.02695,NA,NA,NA
"John McMillon","27942",2.14396,1.661,"REZ1",1.29076459963877
"John Means","16269",2.54091454545455,4.264,"REZ1",0.595899283643186
"John Michael Bertrand","sa3020082",4.0331,NA,NA,NA
"John Murphy","sa3020733",0.0539,NA,NA,NA
"John O'Reilly","sa3008134",1.03375,NA,NA,NA
"John Parke","sa3003988",0.0639,NA,NA,NA
"John Rooney","sa3008417",1.62488,NA,NA,NA
"John Russell","sa3004771",0.0497,NA,NA,NA
"John Schreiber","20020",2.40004235294118,2.129,"REZ1",1.12730970077087
"John Sosa","sa3019140",0.0619,NA,NA,NA
"John Stankiewicz","sa3016001",2.02615,NA,NA,NA
"John Swanda","sa3004944",0.0681,NA,NA,NA
"John Wilson","sa3015116",0.0555,NA,NA,NA
"Johnathan Harmon","sa3020452",0.0781,NA,NA,NA
"Johnathan Lavallee","sa3017993",2.0259,NA,NA,NA
"Johnathan Rogers","sa3023182",0.0938,NA,NA,NA
"Johnny Cueto","6893",3.052125,3.138,"REZ1",0.972633843212237
"Johnny Ray","sa3017273",0.056,NA,NA,NA
"Johzan Oquendo","sa3015148",0.0547,NA,NA,NA
"Jojanse Torres","sa3006955",0.054,NA,NA,NA
"Jojo Ingrassia","sa3023475",0.0705,NA,NA,NA
"Jol Concepcion","sa3002947",0.0523,NA,NA,NA
"Joldanny Genao","sa3011466",0.062,NA,NA,NA
"Joldelanio De Los Santos","sa3018804",0.062,NA,NA,NA
"Jon Duplantier","19546",2.036,NA,NA,NA
"Jon Gray","14916",8.07136705882353,7.098,"REZ1",1.13713258084299
"Jon Lester","4930",0.075,NA,NA,NA
"Jon Olczak","sa875297",0.0499,NA,NA,NA
"Jon Olsen","sa3015032",0.0624,NA,NA,NA
"Jonah Dipoto","sa3010776",1.0284,NA,NA,NA
"Jonah Hurney","sa3023417",0.0558,NA,NA,NA
"Jonah Scolaro","sa3019817",0.0502,NA,NA,NA
"Jonah Tong","sa3022324",2.5298,NA,NA,NA
"Jonaiker Castellar","sa3019755",0.0882,NA,NA,NA
"Jonalbert Rumbol","sa3023619",0.058,NA,NA,NA
"Jonas Uzcategui","sa3019281",0.0618,NA,NA,NA
"Jonatan Bernal","sa3009271",0.0785,NA,NA,NA
"Jonathan Aro","14699",0.0634,NA,NA,NA
"Jonathan Batista","sa3019489",0.0835,NA,NA,NA
"Jonathan Bermudez","21241",2.98908333333333,2.791,"REZ1",1.07097217245909
"Jonathan Bowlan","24607",3.43351647058824,3.371,"REZ1",1.01854537840054
"Jonathan Brand","sa3020567",1.52635,NA,NA,NA
"Jonathan Cannon","31730",9.67492941176471,5.958,"REZ1",1.62385522184705
"Jonathan Edwards","sa3017811",0.0586,NA,NA,NA
"Jonathan Heasley","22224",1.99213846153846,2.755,"REZ1",0.723099260086556
"Jonathan Hennigan","sa918447",0.0541,NA,NA,NA
"Jonathan Hernandez","17464",1.22628952941176,1.773,"REZ1",0.691646660694735
"Jonathan Holder","16588",0.0512,NA,NA,NA
"Jonathan Hughes","sa3014908",1.52535,NA,NA,NA
"Jonathan Jimenez","sa3022343",0.0916,NA,NA,NA
"Jonathan Loaisiga","19753",2.07586447058824,2.113,"REZ1",0.98242521087943
"Jonathan Petit","sa3016842",0.064,NA,NA,NA
"Jonathan Pintaro","sa3024197",1.71332,NA,NA,NA
"Jonathan Russell","sa3022152",0.0877,NA,NA,NA
"Jonathan Salazar","sa3016518",0.0894,NA,NA,NA
"Jonathan Sprinkle","sa3014792",0.0524,NA,NA,NA
"Jonawel Valdez","sa3021755",0.0917,NA,NA,NA
"Joneiker Arellano","sa3018831",0.0817,NA,NA,NA
"Jonh Henriquez","sa3019819",0.0566,NA,NA,NA
"Jonney Rosario","sa3016616",0.0564,NA,NA,NA
"Jonny Cuevas","sa3017931",2.03025,NA,NA,NA
"Jordan Balazovic","21866",1.41875270588235,1.963,"REZ1",0.722747175691469
"Jordan Brink","sa829003",0.0516,NA,NA,NA
"Jordan Carr","sa3017769",0.0622,NA,NA,NA
"Jordan DiValerio","sa3014865",0.0674,NA,NA,NA
"Jordan Fowler","sa3017777",0.0725,NA,NA,NA
"Jordan Geber","sa3019958",3.0329,NA,NA,NA
"Jordan Gore","sa3004127",0.0525,NA,NA,NA
"Jordan Hicks","19618",6.86540705882353,6.206,"REZ1",1.10625315159902
"Jordan Holloway","20631",1.5263,NA,NA,NA
"Jordan Jackson","sa3018172",0.0704,NA,NA,NA
"Jordan Jones","sa3009984",2.0295,NA,NA,NA
"Jordan Leasure","29950",2.92934,1.269,"REZ1",2.30838455476753
"Jordan Lyles","7593",5.05129166666667,5.182,"REZ1",0.974776469831468
"Jordan Marks","sa3018192",0.055,NA,NA,NA
"Jordan Mikel","sa3015094",1.52765,NA,NA,NA
"Jordan Montgomery","16511",5.96170235294118,7.495,"REZ1",0.795423929678609
"Jordan Powell","sa3023534",0.059,NA,NA,NA
"Jordan Romano","16122",2.82067411764706,1.809,"REZ1",1.55924495171203
"Jordan Sheffield","19682",0.0531,NA,NA,NA
"Jordan Valenzuela","sa3021820",0.0737,NA,NA,NA
"Jordan Weems","13190",1.51083127272727,2.576,"REZ1",0.586502823263693
"Jordan Wicks","30094",2.91822941176471,2.832,"REZ1",1.03044823861748
"Jordan Yamamoto","17585",0.0654,NA,NA,NA
"Jordano Perez","sa3008690",0.08,NA,NA,NA
"Jordany Chirinos","sa3022219",0.0898,NA,NA,NA
"Jordany Ventura","sa3008542",2.5307,NA,NA,NA
"Jordarlin Mendoza","sa3017321",0.0806,NA,NA,NA
"Jordi Infante","sa3021482",0.0623,NA,NA,NA
"Jordi Martinez","sa3006141",1.52495,NA,NA,NA
"Jordy Arias","sa3019177",0.0893,NA,NA,NA
"Jordy Luciano","sa3019179",0.0579,NA,NA,NA
"Jordy Vargas","sa3016052",0.091,NA,NA,NA
"Jorge Alcala","19459",3.07262823529412,2.737,"REZ1",1.12262631906983
"Jorge Bautista","sa3008406",0.0738,NA,NA,NA
"Jorge Benitez","sa3004462",1.5248,NA,NA,NA
"Jorge De Leon","sa3016059",0.0755,NA,NA,NA
"Jorge Garcia","sa3009229",0.0612,NA,NA,NA
"Jorge Geraldo","sa3017692",0.08,NA,NA,NA
"Jorge Gonzalez","sa3009504",0.0558,NA,NA,NA
"Jorge Guerra","sa3019578",0.0623,NA,NA,NA
"Jorge Guzman","17505",0.0518,NA,NA,NA
"Jorge Herrera","sa3022339",0.0903,NA,NA,NA
"Jorge Juan","sa3005826",1.52495,NA,NA,NA
"Jorge Lopez","14527",3.36920941176471,4.136,"REZ1",0.814605757196496
"Jorge Luna","sa3021797",0.0903,NA,NA,NA
"Jorge Marcheco","sa3018025",0.0808,NA,NA,NA
"Jorge Martinez","sa3016472",0.0596,NA,NA,NA
"Jorge Mercedes","sa3019110",0.0528,NA,NA,NA
"Jorge Minyety","sa3021752",0.0545,NA,NA,NA
"Jorge Ramos","sa3009524",0.056,NA,NA,NA
"Jorge Rodriguez","sa3016459",0.0721,NA,NA,NA
"Jorger Petri","sa3018855",0.0871,NA,NA,NA
"Jormy Nivar","sa3022022",0.0874,NA,NA,NA
"Josan Mendez","sa3006122",0.0519,NA,NA,NA
"Josbel Garcia","sa3019250",0.0766,NA,NA,NA
"Jose  Ramirez","sa3015929",0.089,NA,NA,NA
"Jose A Ferrer","24017",2.86214588235294,3.064,"REZ1",0.934120718783597
"Jose Acuna","sa3015331",2.5378,NA,NA,NA
"Jose Adames","sa597194",0.0503,NA,NA,NA
"Jose Aguirre","sa3016057",0.0605,NA,NA,NA
"Jose Alcantara","sa3007819",0.0555,NA,NA,NA
"Jose Alvarado","17780",2.60770588235294,4.095,"REZ1",0.636802413273002
"Jose Alvarez","5358",0.0507,NA,NA,NA
"Jose Atencio","sa3010304",0.0779,NA,NA,NA
"Jose Bello","sa3021530",0.0828,NA,NA,NA
"Jose Berrios","14168",11.3997882352941,10.474,"REZ1",1.08838917656045
"Jose Betances","sa3004867",0.0532,NA,NA,NA
"Jose Bravo","sa923839",0.0615,NA,NA,NA
"Jose Butto","23313",2.55385882352941,3.519,"REZ1",0.725734249368972
"Jose Cabrera","sa3018042",0.0751,NA,NA,NA
"Jose Castillo","17169",1.02325,NA,NA,NA
"Jose Chacin","sa917323",0.0704,NA,NA,NA
"Jose Chavez","sa3016815",0.0576,NA,NA,NA
"Jose Chavez","sa3018292",0.0833,NA,NA,NA
"Jose Chirinos","sa3018859",0.0738,NA,NA,NA
"Jose Cisnero","6399",1.34361317647059,2.177,"REZ1",0.61718565754276
"Jose Corniell","sa3015213",0.0749,NA,NA,NA
"Jose Cruz","sa3006383",0.0524,NA,NA,NA
"Jose Cruz","sa3024843",3,NA,NA,NA
"Jose Cuas","17701",0.951101411764706,1.167,"REZ1",0.814996925248248
"Jose Davila","sa3015092",0.0779,NA,NA,NA
"Jose De La Rosa","sa3024590",0.096,NA,NA,NA
"Jose De Leon","15463",0.661714285714286,2.192,"REZ1",0.301876955161627
"Jose Diaz","sa3005709",0.0578,NA,NA,NA
"Jose Dicochea","sa3011497",0.08,NA,NA,NA
"Jose E Hernandez","22318",0.653673866666667,1.146,"REZ1",0.570396044211751
"Jose E Martinez","sa3002796",0.057,NA,NA,NA
"Jose Espada","21131",0.743785714285714,2.483,"REZ1",0.299551234106208
"Jose Felipe Torres","sa3018849",0.0735,NA,NA,NA
"Jose Feliz","sa3024069",0.0887,NA,NA,NA
"Jose Fermin","sa3023455",0.0513,NA,NA,NA
"Jose Fernandez","sa3018346",0.0608,NA,NA,NA
"Jose Fleury","sa3019255",1.53195,NA,NA,NA
"Jose Franco","sa3008714",0.0787,NA,NA,NA
"Jose Garces","sa3015490",0.0932,NA,NA,NA
"Jose Geraldo","sa3006070",0.0508,NA,NA,NA
"Jose Geraldo","sa3016295",0.52915,NA,NA,NA
"Jose Gomez","sa3019253",0.0756,NA,NA,NA
"Jose Gonzalez","sa3009473",0.0605,NA,NA,NA
"Jose Gonzalez","sa3015415",0.0714,NA,NA,NA
"Jose Gonzalez","sa3016249",0.0872,NA,NA,NA
"Jose Guedez","sa3019682",0.0748,NA,NA,NA
"Jose Guevara","sa3023823",0.09,NA,NA,NA
"Jose Jimenez","sa3011595",0.057,NA,NA,NA
"Jose Leandro","sa3019651",0.075,NA,NA,NA
"Jose Leclerc","14524",3.18980823529412,2.274,"REZ1",1.40273009467639
"Jose Linares","sa3019616",0.0608,NA,NA,NA
"Jose Lopez","22982",0.701928571428571,2.336,"REZ1",0.300483121330724
"Jose Luis Reyes","sa3015304",0.0768,NA,NA,NA
"Jose Marte","21761",1.61245833333333,2.05,"REZ1",0.786565040650407
"Jose Martinez","sa3022207",0.0801,NA,NA,NA
"Jose Mendoza","sa3018316",0.0611,NA,NA,NA
"Jose Meneses","sa3019158",0.0765,NA,NA,NA
"Jose Miguel Gonzalez","sa3003139",0.0656,NA,NA,NA
"Jose Montero","sa3018312",0.0781,NA,NA,NA
"Jose Montilla","sa3003102",0.0614,NA,NA,NA
"Jose Moreno","sa3003113",0.0718,NA,NA,NA
"Jose Mujica","17821",0.0565,NA,NA,NA
"Jose Ojeda","sa3019480",0.0629,NA,NA,NA
"Jose Olivares","sa3016267",0.0841,NA,NA,NA
"Jose Pena Jr","sa3017821",0.057,NA,NA,NA
"Jose Pinto","sa3021993",0.09,NA,NA,NA
"Jose Quezada","sa3008375",0.0499,NA,NA,NA
"Jose Quijada","19200",3.13458823529412,1.859,"REZ1",1.68616903458532
"Jose Quintana","11423",8.12547529411765,7.745,"REZ1",1.04912528006684
"Jose Ramirez","sa3006702",0.0645,NA,NA,NA
"Jose Ramirez","sa3019479",0.0624,NA,NA,NA
"Jose Regalado","sa3022049",0.0622,NA,NA,NA
"Jose Rengel","sa3021790",0.0802,NA,NA,NA
"Jose Rodriguez","17860",0.699071428571429,2.321,"REZ1",0.30119406659691
"Jose Rodriguez","sa3015437",0.0633,NA,NA,NA
"Jose Rojas","sa3015486",0.061,NA,NA,NA
"Jose Romero","sa3015483",0.0555,NA,NA,NA
"Jose Romero","sa3021791",0.0823,NA,NA,NA
"Jose Ruiz","14552",2.63351764705882,2.495,"REZ1",1.05551809501356
"Jose Salvador","sa3006482",0.0703,NA,NA,NA
"Jose Santamaria","sa3008373",0.0555,NA,NA,NA
"Jose Serrano","sa3019597",0.0913,NA,NA,NA
"Jose Silvestre","sa3023849",0.0931,NA,NA,NA
"Jose Soriano","22100",7.48067294117647,5.978,"REZ1",1.25136716981875
"Jose Suarez","19911",3.49128470588235,2.524,"REZ1",1.3832348280041
"Jose Ulloa","sa3010836",0.0586,NA,NA,NA
"Jose Urbina","sa3022218",0.0849,NA,NA,NA
"Jose Urena","11589",2.11767776470588,5.046,"REZ1",0.419674547107785
"Jose Urquidy","18413",2.11812836363636,2.971,"REZ1",0.712934487928766
"Jose Varela","sa3021987",0.0878,NA,NA,NA
"Jose Vasquez","sa3022116",0.0822,NA,NA,NA
"Joseilyn Gonzalez","sa3018910",0.0562,NA,NA,NA
"Joseph Hernandez","sa3006385",0.0562,NA,NA,NA
"Joseph Herrera","sa3024471",0.0847,NA,NA,NA
"Joseph King","sa3020857",0.0531,NA,NA,NA
"Joseph Menefee","sa3020443",0.0543,NA,NA,NA
"Joseph Montalvo","sa3018802",0.0764,NA,NA,NA
"Joseph Yabbour","sa3021980",0.0612,NA,NA,NA
"Josh Bortka","sa3020596",0.0561,NA,NA,NA
"Josh Bostick","sa3022857",0.0795,NA,NA,NA
"Josh Dye","sa3007485",0.0555,NA,NA,NA
"Josh Ekness","sa3023204",0.70135,NA,NA,NA
"Josh Fleming","20418",1.54226672727273,2.245,"REZ1",0.686978497671593
"Josh Gessner","sa3011658",0.0573,NA,NA,NA
"Josh Green","sa3006701",1.52825,NA,NA,NA
"Josh Grosz","sa3023478",0.0702,NA,NA,NA
"Josh Hader","14212",3.49666941176471,4.178,"REZ1",0.836924224931715
"Josh Hansell","sa3023158",0.0739,NA,NA,NA
"Josh Harlow","sa3022914",0.0573,NA,NA,NA
"Josh Hejka","sa3011152",1.02605,NA,NA,NA
"Josh Hendrickson","sa3011196",0.0711,NA,NA,NA
"Josh James","16794",0.0259,NA,NA,NA
"Josh Knoth","sa3023420",0.0806,NA,NA,NA
"Josh Lindblom","7882",0.0517,NA,NA,NA
"Josh Maciejewski","21310",1.88545833333333,1.19,"REZ1",1.584418767507
"Josh Mollerus","sa3022666",0.0553,NA,NA,NA
"Josh Osich","11528",0.0496,NA,NA,NA
"Josh Roberson","sa3007721",1.02585,NA,NA,NA
"Josh Rogers","18510",3.62133333333333,1.597,"REZ1",2.26758505531204
"Josh Sborz","18323",1.85475152941176,2.171,"REZ1",0.854330506407999
"Josh Simpson","sa1053035",1.93985666666667,NA,NA,NA
"Josh Smith","sa3009923",0.0511,NA,NA,NA
"Josh Staumont","18335",1.12510564705882,1.681,"REZ1",0.669307345067712
"Josh Stephan","sa3015286",3.033,NA,NA,NA
"Josh Swales","sa3017753",0.0571,NA,NA,NA
"Josh Taylor","17359",0.794208333333333,2.144,"REZ1",0.370432991293532
"Josh Timmerman","sa3023098",0.0792,NA,NA,NA
"Josh Tomlin","9388",0.0534,NA,NA,NA
"Josh Trentadue","sa3023010",0.0707,NA,NA,NA
"Josh Walker","23617",1.60805188235294,1.877,"REZ1",0.85671384248958
"Josh White","sa3019953",0.0606,NA,NA,NA
"Josh Winckowski","22387",3.05094705882353,3.346,"REZ1",0.911819204669315
"Josh Winder","24606",1.36932272727273,2.378,"REZ1",0.575829574126462
"Josh Wolf","sa3011638",0.0581,NA,NA,NA
"Joshawn Lampson","sa3021512",0.0908,NA,NA,NA
"Joshua Cornielly","sa3005890",2.02445,NA,NA,NA
"Joshua Loeschorn","sa3020837",0.0622,NA,NA,NA
"Joshua Quezada","sa3021789",0.086,NA,NA,NA
"Josiah Gray","24580",2.21409211764706,4.038,"REZ1",0.548314045975002
"Josias De Los Santos","sa3006508",0.0578,NA,NA,NA
"Josimar Cousin","sa3021579",0.52565,NA,NA,NA
"Josmar Acevedo","sa3019062",0.091,NA,NA,NA
"Josnier Parra","sa3021488",0.0612,NA,NA,NA
"Jostin Florentino","sa3021510",0.086,NA,NA,NA
"Josue Arias","sa3018350",0.096,NA,NA,NA
"Josue Carmona","sa3017979",0.0609,NA,NA,NA
"Josue Panacual","sa3010568",0.0766,NA,NA,NA
"Jovani Moran","20422",0.339,1.069,"REZ1",0.31711880261927
"Jovi Galvez","sa3018837",0.0637,NA,NA,NA
"Juan Abreu","sa3017200",0.0602,NA,NA,NA
"Juan Amarante","sa3019048",0.0745,NA,NA,NA
"Juan Archbold","sa3021543",0.0916,NA,NA,NA
"Juan Arnaud","sa3018294",0.0562,NA,NA,NA
"Juan Bello","sa3019615",0.0779,NA,NA,NA
"Juan Burgos","sa3009272",0.0618,NA,NA,NA
"Juan Carela","sa3009237",4.5393,NA,NA,NA
"Juan Cota","sa3021984",0.0944,NA,NA,NA
"Juan Daniel Encarnacion","sa3008697",3.5358,NA,NA,NA
"Juan De La Cruz","sa3019171",0.0915,NA,NA,NA
"Juan De Los Santos","sa3010808",0.0543,NA,NA,NA
"Juan Duran","sa3022262",0.0607,NA,NA,NA
"Juan Henriquez","sa3022136",0.0615,NA,NA,NA
"Juan Hillman","sa874796",2.5333,NA,NA,NA
"Juan Manuel Abril","sa3002921",0.0592,NA,NA,NA
"Juan Martinez","sa3009219",0.0622,NA,NA,NA
"Juan Martinez","sa3016278",0.0812,NA,NA,NA
"Juan Mateo","sa3015279",0.0553,NA,NA,NA
"Juan Mejia","sa3002949",0.0607,NA,NA,NA
"Juan Mejia","sa3003159",2.24032,NA,NA,NA
"Juan Mendez","sa3015336",0.0563,NA,NA,NA
"Juan Mercedes","sa3002818",4.03515,NA,NA,NA
